SMED30000044 ASI4B
SMED30010217 RBM4B
SMED30010195 CG057
SMED30010221 MAPK3
SMED30010200 3HAO
SMED30010205 PIM2
SMED30010222 FKBP2
SMED30010190 ZBED5
SMED30010203 ZFR
SMED30010208 MDHM
SMED30010206 CNFN
SMED30010202 NPHN
SMED30010201 SDHA
SMED30010212 NPR9
SMED30010215 POL
SMED30010207 CUSS
SMED30010188 ANK2
SMED30010196 RN217
SMED30010229 EIF1A
SMED30010245 TIMP1
SMED30010254 RSP5
SMED30010244 RH46
SMED30010258 SNP25
SMED30010225 TRAF3
SMED30010251 NDF1
SMED30010230 VSX1
SMED30010242 TM86A
SMED30010228 ASTA
SMED30010227 CSHB
SMED30010232 SCND3
SMED30010240 ICP0
SMED30010226 MA2B1
SMED30010252 TXLNB
SMED30010257 MMAC
SMED30010236 SVOP
SMED30010260 SPG21
SMED30010283 KALM
SMED30010270 ADAS
SMED30010294 SL9A8
SMED30010295 EIF3J
SMED30010291 RT14
SMED30010287 DRGX
SMED30010271 TRAF3
SMED30010286 MED17
SMED30010276 FAT4
SMED30010267 WDR82
SMED30010268 FOXD3
SMED30010277 CCD34
SMED30010316 EMAL6
SMED30010320 R10B2
SMED30010325 COG3
SMED30010319 OPA1
SMED30010317 MOT4
SMED30010313 OBG
SMED30010326 TSN1
SMED30010330 DIC
SMED30010306 TM222
SMED30010309 TAM41
SMED30010297 LAMC
SMED30010312 S22A2
SMED30010331 GAS8
SMED30010310 ZBED8
SMED30010327 FBW1A
SMED30010337 MFSD1
SMED30010351 POGK
SMED30010336 LRP1B
SMED30010361 PPM1D
SMED30010362 ENTP3
SMED30010360 TRIL
SMED30010365 ZDHC9
SMED30010340 NLGNX
SMED30010355 IMB1
SMED30010334 VDAC2
SMED30010349 ADA2C
SMED30010354 YFIG
SMED30010366 DIC
SMED30010345 EXD
SMED30010384 RAE1L
SMED30010381 NOP10
SMED30010386 STK24
SMED30010370 TLDC2
SMED30010374 TM55A
SMED30010369 CRML
SMED30010392 GCP60
SMED30010399 IVD
SMED30010393 RM43
SMED30010398 SUP9
SMED30010378 Y132A
SMED30010387 GUAC
SMED30010375 COX1
SMED30010372 TM138
SMED30010394 TM9S3
SMED30010412 AATM
SMED30010414 XRN1
SMED30010406 TYRO
SMED30010425 ASI4A
SMED30010410 CI135
SMED30010418 TOP2B
SMED30010419 SERA
SMED30010437 CUTC
SMED30010426 AR
SMED30010408 SCND3
SMED30010424 PRI1
SMED30010458 ZNF91
SMED30010459 CATB
SMED30010457 CCAR1
SMED30010473 DEPD5
SMED30010441 UBP5
SMED30010455 UNC7
SMED30010463 RS4
SMED30010449 NR1I2
SMED30010474 VPS18
SMED30010444 CASP3
SMED30010451 DPOE1
SMED30010468 ARI4
SMED30010452 FAHD1
SMED30010447 RHG08
SMED30010448 TIGD1
SMED30010466 RT02
SMED30010475 striated
SMED30010471 P52K
SMED30001104 POL2
SMED30001102 HEAT1
SMED30001107 LPXB
SMED30001084 TMM64
SMED30001096 RS23
SMED30001079 PCR2
SMED30001091 HDHD3
SMED30001081 NUDC
SMED30001097 ADA
SMED30001093 GS1
SMED30001087 S35A4
SMED30001098 SETMR
SMED30001089 RECG
SMED30001106 VPS54
SMED30001076 MFS11
SMED30001075 GGPPS
SMED30001099 MET10
SMED30001109 KTRC
SMED30010476 CP2J6
SMED30010483 UBI1P
SMED30010503 CP135
SMED30010499 PGBM
SMED30010508 FAM50
SMED30010495 INT1
SMED30010510 ACINU
SMED30010500 PTPRD
SMED30010493 MOB1B
SMED30010487 ST17B
SMED30010507 CATA
SMED30010506 DNJC3
SMED30010489 SH3G2
SMED30010511 NPSR1
SMED30010484 SPUE
SMED30010517 RIR2
SMED30010523 POL3
SMED30010526 ITN1
SMED30010512 NSF1C
SMED30010532 SHF
SMED30010541 CAPZB
SMED30010531 TXN4A
SMED30010540 LGSN
SMED30010543 LARP7
SMED30010516 P3C2A
SMED30010525 SETMR
SMED30010538 PLS2
SMED30010519 CELR1
SMED30010547 LRC34
SMED30010533 ZMYM6
SMED30010536 DLX5
SMED30010550 JERKL
SMED30010559 ASND1
SMED30010576 SCOC
SMED30010583 TM116
SMED30010563 GTD2A
SMED30010572 SEPIA
SMED30010567 HPRK
SMED30010564 ABD12
SMED30010561 FBN1
SMED30010575 PCKG
SMED30010571 OLA1
SMED30010549 ETS2
SMED30010554 TC3A
SMED30010553 TPC2L
SMED30010587 GCNT3
SMED30010599 FCP1
SMED30010593 WNT4A
SMED30010616 ADCY1
SMED30010610 HSP83
SMED30010613 TSAC
SMED30010614 REXO4
SMED30010602 K1586
SMED30010611 TDRKH
SMED30010615 FNTB
SMED30010603 ATRF2
SMED30010619 KCNQ1
SMED30010586 BIN3
SMED30010590 PHT44
SMED30010595 LACH
SMED30010612 HMGCL
SMED30010638 ID1
SMED30010624 ACYP2
SMED30010633 TEP1
SMED30010654 RBP2
SMED30010650 PDCD4
SMED30010631 TSP17
SMED30010637 DDX21
SMED30010653 ADAT1
SMED30010649 MLX
SMED30010620 KAT2B
SMED30010646 REXO4
SMED30010632 ANK3
SMED30010627 MEIS2
SMED30010635 WDR13
SMED30010657 ACM3
SMED30010680 PP4R3
SMED30010673 KCC1A
SMED30010676 CC149
SMED30010668 MPP5
SMED30010671 DIC
SMED30010660 TRF6B
SMED30010670 CTLH1
SMED30010684 PKD2
SMED30010674 SPAT6
SMED30010658 MTR1C
SMED30010687 M3K3
SMED30010666 P4HA2
SMED30010695 CC170
SMED30010705 SETMR
SMED30010709 CRBN
SMED30010700 ZBED8
SMED30010727 KT5AA
SMED30010724 PCKG
SMED30010725 RAE1A
SMED30010697 VNCS
SMED30010714 DOP1
SMED30010718 CDKL3
SMED30010710 SPCS2
SMED30010723 TRAC5
SMED30010721 KAD2
SMED30010722 REPA
SMED30010707 PARVB
SMED30010729 TIA1
SMED30010755 ATL3
SMED30010740 and
SMED30010750 5HT2B
SMED30010763 UBR7
SMED30010738 KC1A
SMED30010749 CRERF
SMED30010742 GRP78
SMED30010743 RPOB
SMED30010744 MCRS1
SMED30010746 BEST4
SMED30010757 CCHL
SMED30010752 PARP1
SMED30010795 CRIS3
SMED30010792 M2K1
SMED30010778 LCA5
SMED30010772 ORNT1
SMED30010781 HOW
SMED30010790 SMYD2
SMED30010787 TM248
SMED30010777 DHPR
SMED30010783 HCN4
SMED30010766 C2CD3
SMED30010767 TBA3
SMED30010770 ZBED1
SMED30010814 TIM21
SMED30010835 CAD23
SMED30010816 SHAN3
SMED30010829 TMM94
SMED30010822 PSMD2
SMED30010801 DIDO1
SMED30010808 ELOV4
SMED30010821 HPBP1
SMED30010830 FOLC
SMED30010811 EMRA
SMED30010832 TRNT1
SMED30010809 MURC
SMED30010804 DYH5
SMED30000130 LETM1
SMED30000144 CLIP1
SMED30000145 FUCTA
SMED30000114 DBR1
SMED30000129 PCDC2
SMED30000126 CEP95
SMED30000118 LRRF2
SMED30000124 OXLT
SMED30000146 GLIS3
SMED30000139 MPEG1
SMED30000140 SAM15
SMED30000134 RL4
SMED30000137 NSD2
SMED30000112 GGT1
SMED30000117 SFR15
SMED30000138 VACHT
SMED30000142 POGK
SMED30000147 ING3
SMED30000121 LMLN
SMED30001141 Y132A
SMED30001138 SC6A4
SMED30001120 GATB
SMED30001147 YPT1
SMED30001113 and
SMED30001122 SPX3
SMED30001119 DTWD1
SMED30001146 CALCR
SMED30001121 GRM3
SMED30001127 ASF1B
SMED30001116 CFA44
SMED30001140 RRP15
SMED30001128 CO4A1
SMED30001130 DAPK1
SMED30010855 PTPRS
SMED30010837 PDI2
SMED30010870 SECD
SMED30010842 EFHC1
SMED30010840 KCC4
SMED30010856 CNOT6
SMED30010862 H2A4
SMED30010841 PRS10
SMED30010845 SNUT2
SMED30010853 M2OM
SMED30010839 DHX15
SMED30010849 ADCY9
SMED30010904 ZMYM6
SMED30010896 DNLI1
SMED30010875 VPS36
SMED30010882 S13A2
SMED30010873 SETMR
SMED30010899 COG7
SMED30010901 GRIK4
SMED30010874 VMAT2
SMED30010883 ATLA2
SMED30010895 ATL32
SMED30010898 FRYL
SMED30010905 DCX
SMED30010876 TIGD4
SMED30010888 SSA27
SMED30010906 SMC2
SMED30010877 TMCO1
SMED30010878 SIX6
SMED30010890 YBOXH
SMED30010915 TAU
SMED30010921 CC134
SMED30010927 SK2L2
SMED30010931 HSP83
SMED30010913 DUSTY
SMED30010910 PO6F1
SMED30010923 ZSC30
SMED30010943 RL40
SMED30010935 KTNB1
SMED30010941 DJB13
SMED30010928 HINT3
SMED30010909 SVOP
SMED30010916 ZNT6
SMED30010934 ENTP3
SMED30010940 CD151
SMED30010929 MFS4B
SMED30010975 CDO1
SMED30010977 TBB4B
SMED30010963 PLPL2
SMED30010953 VPS53
SMED30010962 TRAF3
SMED30010945 COX10
SMED30010958 MCUR1
SMED30010976 MARH6
SMED30010969 RL6
SMED30010952 D19L1
SMED30010960 HMCN1
SMED30010964 PANK4
SMED30010954 RB1BV
SMED30010978 NU155
SMED30010974 UNC9
SMED30010944 PO22
SMED30010973 ZDHC6
SMED30011014 ILVBL
SMED30011004 YI31B
SMED30010982 Y1292
SMED30011001 RNF44
SMED30011015 TIGD1
SMED30010998 SQRD
SMED30010994 GLC7A
SMED30010984 DCTN3
SMED30010999 S47A2
SMED30010986 LOL2A
SMED30011012 MRC1
SMED30010996 RHO
SMED30010990 CDC20
SMED30011003 RL44
SMED30011009 KCNKI
SMED30011037 PPM1
SMED30011029 GCC2
SMED30011035 AGK
SMED30011041 ENPL
SMED30011027 DYXC1
SMED30011046 GRM5
SMED30011043 CHK1
SMED30011049 ALG8
SMED30011047 GLI1
SMED30011025 SETMR
SMED30011024 ACT1
SMED30011040 PTPRJ
SMED30011031 PK1
SMED30011023 WDR6
SMED30011051 SETMR
SMED30011039 RPB3
SMED30011038 CUBN
SMED30011052 TF211
SMED30011086 GTPB2
SMED30011059 MR30
SMED30011069 AGO2
SMED30011065 US6NL
SMED30011055 WLS
SMED30011072 MBOA7
SMED30011054 PSN1
SMED30011078 TRAF3
SMED30011087 MIEN1
SMED30011074 DCTN6
SMED30011084 ES8L1
SMED30011053 VDAC
SMED30011057 POL3
SMED30011079 XRCC6
SMED30011117 FNTA
SMED30011104 LARP6
SMED30011092 NWD1
SMED30011090 TIGD7
SMED30011094 TRFR
SMED30011111 CC170
SMED30011091 SKI
SMED30011114 S38A9
SMED30011120 ANTL1
SMED30011096 CP131
SMED30011097 AB21B
SMED30011113 GRAP
SMED30011138 EFCB7
SMED30011135 OXLT
SMED30011140 ASSY
SMED30011125 POL
SMED30011142 MPRA
SMED30011154 ASM
SMED30011127 UMPS
SMED30011149 GNTK
SMED30011150 RPOH
SMED30011146 MLEC
SMED30011137 IF4A
SMED30011124 KN14E
SMED30011145 KMT2E
SMED30011152 DIAP2
SMED30011143 PIWI2
SMED30011164 DRD2L
SMED30011173 SGK1
SMED30011165 FZD8
SMED30011185 GTR3
SMED30011195 POL2
SMED30011189 ARFP1
SMED30011176 ANK1
SMED30011190 NUBP2
SMED30011181 FIGL1
SMED30011180 KI26A
SMED30011172 POL4
SMED30011192 POL4
SMED30011168 M1AP
SMED30011182 GPHR
SMED30011184 GWL
SMED30001181 PLAC8
SMED30001164 TBA2
SMED30001163 DYH1A
SMED30001165 DIC
SMED30001176 YGK5
SMED30001154 POL2
SMED30001153 CIAO1
SMED30001159 EF1G
SMED30001172 EF1B
SMED30001170 ADCY8
SMED30001152 YAP1
SMED30001167 STAR3
SMED30001150 HIL
SMED30001151 BCDO2
SMED30001161 STK24
SMED30001182 TM199
SMED30011201 HMCN1
SMED30011209 S35B2
SMED30011198 LAFS
SMED30011208 PLCX3
SMED30011218 BRD7
SMED30011206 PXN1
SMED30011204 PIEZ1
SMED30011224 GBB
SMED30011215 ABCB6
SMED30011203 CCHCR
SMED30011228 AMERL
SMED30011213 OSTF1
SMED30011214 NUD19
SMED30011221 HSP7C
SMED30011216 EAA2
SMED30011232 PGBD4
SMED30011234 TETR5
SMED30011250 GRN
SMED30011264 MPEG1
SMED30011258 TAB1
SMED30011256 ZBED5
SMED30011245 GTD2B
SMED30011238 KIF17
SMED30011246 MCES
SMED30011255 RAD1
SMED30011242 SNP29
SMED30011294 NEK7
SMED30011303 SDCB1
SMED30011286 EFHC2
SMED30011284 NOL4L
SMED30011273 AMN1
SMED30011282 S43A3
SMED30011300 RSF1
SMED30011280 TRI35
SMED30011301 PGBD4
SMED30011279 IST1
SMED30011275 HELZ2
SMED30011285 DPOG1
SMED30011281 CSRN2
SMED30011291 PA2HS
SMED30011299 VACHT
SMED30011292 TMUB1
SMED30011328 SETMR
SMED30011337 PSMD8
SMED30011320 RBX2
SMED30011318 AROA
SMED30011314 T1SH
SMED30011332 SETMR
SMED30011335 DYH10
SMED30011307 MYLK
SMED30011313 LYPA1
SMED30011305 SETMR
SMED30011330 P52K
SMED30011329 TSN3
SMED30011311 PC11X
SMED30011357 LYRM1
SMED30011347 RT11
SMED30011374 POL2
SMED30011373 SAP6
SMED30011343 PA2AA
SMED30011366 PHOP2
SMED30011358 MFRN2
SMED30011344 ZFPL1
SMED30011372 CI064
SMED30011362 ZMYM6
SMED30011350 SPTC1
SMED30011359 FMAR
SMED30011345 DYL2
SMED30011346 HD
SMED30011351 G3P
SMED30011349 LR74A
SMED30011404 RNR
SMED30011384 MYPT1
SMED30011408 RRP46
SMED30011381 HORM1
SMED30011409 SETMR
SMED30011405 D39U1
SMED30011394 GABT
SMED30011411 TIGD1
SMED30011376 KCMB4
SMED30011379 VMA5A
SMED30011406 UBP3
SMED30011389 FCP1
SMED30011397 HEN1
SMED30011382 AL14E
SMED30011402 RSLAB
SMED30011383 NEDD8
SMED30011390 NUP85
SMED30011410 ESYT3
SMED30011442 CS044
SMED30011412 RL37
SMED30011438 FBXL7
SMED30011418 CRIS2
SMED30011414 PDE1C
SMED30011437 LIPG
SMED30011423 TBP
SMED30011434 DNJA3
SMED30011440 OSA
SMED30011420 CEL3A
SMED30011446 cytoskeletal
SMED30011422 POL2
SMED30011413 H2A2C
SMED30011428 PYGM
SMED30011415 TM209
SMED30011436 SETMR
SMED30011475 GLMP
SMED30011468 MDHC
SMED30011469 KLH18
SMED30011480 XYLT
SMED30011466 GTPB6
SMED30011477 TRAF1
SMED30011483 IMT3
SMED30011473 ENO4
SMED30011464 POL2
SMED30011479 GGACT
SMED30011493 ERG
SMED30011514 KLP3
SMED30011501 PLAP
SMED30011499 STR6L
SMED30011486 MIIP
SMED30011519 MED21
SMED30011503 POL2
SMED30011512 RSPH1
SMED30011504 AT1B1
SMED30011494 INVA
SMED30011511 KCNH8
SMED30011505 TASP1
SMED30011490 TEGU
SMED30011517 TRAF2
SMED30011506 TNS2
SMED30011508 RT07
SMED30011492 TIGD2
SMED30011497 TIGD1
SMED30011524 STT3B
SMED30011532 POL4
SMED30011544 KC1
SMED30011541 AT133
SMED30011554 YMD2
SMED30011551 MOT7
SMED30011528 ZASP
SMED30011520 KC1G1
SMED30011527 POGK
SMED30011530 RPB2
SMED30011534 NUCB1
SMED30011543 CEP19
SMED30011545 BIR7A
SMED30011540 MCM9
SMED30011535 YAS2
SMED30011553 TBX2
SMED30011521 UBIQP
SMED30001196 MYH11
SMED30001195 DA
SMED30001207 CMTA2
SMED30001190 DYN1
SMED30001206 G6PT1
SMED30001212 TBA
SMED30001185 TM231
SMED30001214 SART3
SMED30001186 CAND
SMED30001215 HEXP
SMED30001208 ZMYM1
SMED30001221 TG198
SMED30001192 RAB14
SMED30001201 HSP7A
SMED30001210 DUS19
SMED30001191 SOX2
SMED30001189 AGRE2
SMED30011587 RHA4A
SMED30011580 SAAL1
SMED30011582 RABL3
SMED30011590 AP3S2
SMED30011568 LTOR3
SMED30011575 PRDM1
SMED30011576 HERC2
SMED30011589 SMAD2
SMED30011577 MBLC1
SMED30011581 AAK1
SMED30011574 UB2V1
SMED30011562 LMLN
SMED30011564 MIG10
SMED30011572 cytoplasmic
SMED30011603 NGEF
SMED30011594 CSKP
SMED30011604 ACSL4
SMED30011602 KIF2A
SMED30011622 RPB11
SMED30011598 PLC
SMED30011601 P52K
SMED30011624 CRLD2
SMED30011609 RS3
SMED30011619 SCND3
SMED30011608 Y1854
SMED30011614 TIGD1
SMED30011617 ARPC4
SMED30011599 HOOK
SMED30011618 EXOSX
SMED30011600 ZFAN4
SMED30011620 SCOT1
SMED30011593 CA123
SMED30011596 HOIL1
SMED30011635 SCND3
SMED30011647 ABCAC
SMED30011629 DUSTY
SMED30011650 CV039
SMED30011649 PARG
SMED30011660 STO4
SMED30011663 EAA2
SMED30011661 EIF3M
SMED30011636 PEX5
SMED30011656 C56D1
SMED30011648 PLS1
SMED30011644 TYW3
SMED30011654 TIGD1
SMED30011655 SYDND
SMED30011628 PUR8
SMED30011631 TIGD4
SMED30011685 SMCE1
SMED30011672 MTHFS
SMED30011699 KCC4
SMED30011676 CD047
SMED30011684 PLCB4
SMED30011698 MPH1
SMED30011670 DERL1
SMED30011674 PPN
SMED30011677 BOLL
SMED30011687 NC2A
SMED30011690 ROA2
SMED30011667 PP2B2
SMED30011689 AMPD
SMED30011681 PEX19
SMED30011702 ELAV2
SMED30011720 NXT1
SMED30011728 DLG5
SMED30011727 DOCK1
SMED30011708 LACH
SMED30011735 P2R3C
SMED30011713 EKI2
SMED30011719 RDS1
SMED30011729 SRP19
SMED30011700 CBPA
SMED30011715 RSP3
SMED30011733 ERLEC
SMED30011707 K1586
SMED30011726 GLB1
SMED30011723 ETHE1
SMED30011724 PRP8
SMED30011721 K2013
SMED30011710 M3K3
SMED30011734 PRTGA
SMED30011750 PLCE1
SMED30011749 ACT11
SMED30011742 SMAD4
SMED30011738 FUR11
SMED30011751 POL4
SMED30011758 PCIF1
SMED30011740 PGBD4
SMED30011759 PGBD4
SMED30011761 GCP6
SMED30011754 ELF1
SMED30011747 MIEN1
SMED30011741 GT2D2
SMED30011766 TTC8
SMED30011744 TSPO
SMED30011768 CPTP
SMED30011771 larval
SMED30011792 SBNO1
SMED30011775 H2BL1
SMED30011793 DTH1
SMED30011798 Y381
SMED30011773 NUDT6
SMED30011803 ATPO
SMED30011800 TRISR
SMED30011801 ALG5
SMED30011791 ACDSB
SMED30011802 POL4
SMED30011790 TIGD1
SMED30011787 NSD3
SMED30011806 TMEDE
SMED30011784 MEIS3
SMED30011779 B3GT5
SMED30011777 CCNT2
SMED30011804 VDLC
SMED30011797 PIM1
SMED30011781 GCP2
SMED30011780 PCDP1
SMED30011774 TCPQ
SMED30011830 EHD4
SMED30011839 HEXP
SMED30011823 S15A4
SMED30011842 GCNT1
SMED30011832 ENKD1
SMED30011811 CND2
SMED30011835 RT06
SMED30011820 S22A2
SMED30011818 ZN593
SMED30011843 POL2
SMED30011828 MTR1C
SMED30011819 MIB2
SMED30011809 TRFR
SMED30011836 5HTR
SMED30011827 MTCL1
SMED30011825 NHL1
SMED30011813 SSR5
SMED30011838 TRAIP
SMED30011873 MA2C1
SMED30011854 PLS2
SMED30011871 SUR1
SMED30011876 MPEG1
SMED30011852 DHX16
SMED30011875 NFIC
SMED30011855 SODF
SMED30011874 PDE7A
SMED30011867 EAT5
SMED30011844 DHB12
SMED30011868 ANC2
SMED30011849 HMCS2
SMED30011861 SYAM
SMED30011858 VA5
SMED30011859 REXO4
SMED30011864 DSBA
SMED30011865 NEK10
SMED30011895 LRSM1
SMED30011898 F37C4
SMED30011914 BEST1
SMED30011896 GAPR1
SMED30011909 M2K10
SMED30011885 CR3L4
SMED30011901 CYHR1
SMED30011884 VGLU2
SMED30011903 RUBIC
SMED30011890 ZBED5
SMED30011897 KCIP1
SMED30011892 MF4B1
SMED30011907 TRAF6
SMED30001223 RPA2
SMED30001251 GP183
SMED30001257 NDUV1
SMED30001222 ETHE1
SMED30001246 ZBED5
SMED30001234 TNPO1
SMED30001258 UBA6
SMED30001239 TXIP1
SMED30001244 ETFA
SMED30001224 PRS4
SMED30001238 SNR40
SMED30001229 UN5BB
SMED30001235 CU059
SMED30001253 STCW
SMED30001242 ANK3
SMED30001237 TPPP2
SMED30001230 REC8
SMED30011916 PROS
SMED30011938 AAKG2
SMED30011922 TBCEL
SMED30011948 FBW10
SMED30011929 MEC2
SMED30011947 CHCH2
SMED30011950 GATA3
SMED30011930 VNCS
SMED30011944 SVOP
SMED30011934 SP9
SMED30011945 GLRX5
SMED30011936 S29A4
SMED30011943 FANK1
SMED30011933 LST4
SMED30011984 PAR3L
SMED30011982 RL17
SMED30011957 TIGD1
SMED30011955 REXO4
SMED30011952 GALD
SMED30011979 GSTT1
SMED30011953 KDM8
SMED30011974 SCAI
SMED30011964 DHOM
SMED30011956 RN128
SMED30011959 MYOM
SMED30011962 ABCA1
SMED30011971 PGBD4
SMED30011961 TENS
SMED30012001 SUR1
SMED30011992 CUBN
SMED30011988 THIM
SMED30011994 TG198
SMED30012005 EVI1
SMED30011996 TUTL
SMED30011998 AMRA1
SMED30012000 TY3H
SMED30012012 ST1C4
SMED30012010 BHE23
SMED30012020 TPH1
SMED30012016 DNJC5
SMED30012002 KLH10
SMED30012022 SL9A6
SMED30012030 UBL4A
SMED30012024 MTG8R
SMED30012046 AAKB1
SMED30012050 ARAP2
SMED30012043 AT2B3
SMED30012037 UNC9
SMED30012031 TIGD4
SMED30012041 LRIT2
SMED30012055 EIF3E
SMED30012044 DC1L1
SMED30012056 PC11Y
SMED30012059 NICA
SMED30012077 GHSR
SMED30012060 TIM9
SMED30012084 GRIK4
SMED30012092 BRK1
SMED30012062 BIRC8
SMED30012094 DHRS4
SMED30012081 SYIM
SMED30012090 JERKY
SMED30012064 POL3
SMED30012086 PIM2
SMED30012073 ASIC5
SMED30012070 CALX
SMED30012061 S35C2
SMED30012066 MYPH
SMED30012091 TM107
SMED30012072 YL063
SMED30012106 NPY2R
SMED30012110 DISC
SMED30012131 KLH23
SMED30012116 SCND3
SMED30012104 TASOR
SMED30012118 KPYM
SMED30012107 ZMY12
SMED30012119 IQEC1
SMED30012121 ANK3
SMED30012125 RN
SMED30012099 EIF2A
SMED30012113 ANK1
SMED30012109 SFT2A
SMED30012115 STIP1
SMED30012117 S39AB
SMED30012124 RRP8
SMED30012134 YG31B
SMED30012149 NPHN
SMED30012139 GTR1
SMED30012165 EF1A1
SMED30012133 SM16
SMED30012144 ICCR
SMED30012136 RSPH9
SMED30012152 KDM5C
SMED30012159 S11IP
SMED30012143 TP8L1
SMED30012175 PLSL
SMED30012188 RUXF
SMED30012178 CALU
SMED30012177 ZBED5
SMED30012193 OAT
SMED30012198 CP089
SMED30012171 PDK
SMED30012189 KAPR2
SMED30012169 EMC7
SMED30012187 NP1L4
SMED30012192 MPPD1
SMED30012191 GQ-coupled
SMED30012229 CFA20
SMED30012232 GATP1
SMED30012239 TF2B
SMED30012211 CHCH7
SMED30012205 ABCA1
SMED30012227 LRC23
SMED30012216 HNRL1
SMED30012207 PI16
SMED30012225 UTP11
SMED30012219 PDIA3
SMED30012212 NU1M
SMED30012222 ACT1
SMED30012234 RFA1
SMED30012223 XERIC
SMED30012226 ZBED5
SMED30012252 GQ-coupled
SMED30012259 TCAF2
SMED30012266 RHG21
SMED30012256 APH1
SMED30012268 HNF6
SMED30012257 PEX19
SMED30012260 DYR1A
SMED30012267 KIF9
SMED30012274 MINP1
SMED30012240 RN170
SMED30012263 ELP3
SMED30012271 TLN1
SMED30012264 ADXH
SMED30012275 SPF45
SMED30012265 FOXO4
SMED30012250 TBCC1
SMED30012273 ZMYM5
SMED30001277 SL9A2
SMED30001265 SAD1
SMED30001270 RHOH
SMED30001279 WBS27
SMED30001264 GRID2
SMED30001289 POL2
SMED30001290 SEM5A
SMED30001294 PICAL
SMED30001285 PHEA
SMED30001275 SPG16
SMED30001286 DPOLN
SMED30001272 NCOA5
SMED30001292 DLG2
SMED30001291 BUD31
SMED30001261 P52K
SMED30001280 UFM1
SMED30001259 VGFR3
SMED30012288 POL
SMED30012299 NR2E1
SMED30012311 APEX1
SMED30012292 ATP5S
SMED30012305 K1586
SMED30012278 TATD1
SMED30012294 PSME4
SMED30012296 GPSM2
SMED30012287 DDHD1
SMED30012306 VATD
SMED30012293 SP16H
SMED30012308 RPAB1
SMED30012289 DNJC8
SMED30012276 COPD
SMED30012307 PCR3
SMED30012291 DTPA
SMED30012280 Y2112
SMED30012301 MTG1
SMED30012283 AVR2A
SMED30012295 HUNB
SMED30012282 SSRA
SMED30012285 TSN3
SMED30012321 XPO2
SMED30012329 GALE
SMED30012319 UBP40
SMED30012316 PPT1
SMED30012347 GPR54
SMED30012331 STX
SMED30012312 CHP1
SMED30012343 S35F5
SMED30012330 ZBED5
SMED30012337 ANO4
SMED30012332 EGR1
SMED30012338 GHSR
SMED30012352 YHJX
SMED30012372 KAPR
SMED30012364 SNX32
SMED30012358 CYB5
SMED30012378 CLH1
SMED30012382 MPEG1
SMED30012371 CALUA
SMED30012369 SMAP
SMED30012383 RSSA
SMED30012350 ZDH23
SMED30012404 YI31B
SMED30012392 AR
SMED30012412 AB17C
SMED30012411 FYN
SMED30012386 PYGM
SMED30012399 MTU1
SMED30012384 ZBED8
SMED30012418 SBP2L
SMED30012416 RPB9
SMED30012402 ARF4
SMED30012387 VAMP8
SMED30012388 POL2
SMED30012419 Y4251
SMED30012406 REV1
SMED30012440 CCG1
SMED30012427 UB2G1
SMED30012451 SAP
SMED30012449 REPS1
SMED30012433 LUXQ
SMED30012446 RHO1
SMED30012455 HMDH
SMED30012448 PANK4
SMED30012421 RL43
SMED30012450 TCB2
SMED30012441 DPOM
SMED30012480 BUD13
SMED30012461 PO21
SMED30012458 IMA1
SMED30012476 CHMP5
SMED30012485 ALG9
SMED30012468 TPR
SMED30012457 PRKAG
SMED30012482 S47A2
SMED30012474 SCND3
SMED30012475 LIPB1
SMED30012464 GQ-coupled
SMED30012471 EMRA
SMED30012522 ANK3
SMED30012510 EGR1
SMED30012511 YI31B
SMED30012517 LIN9
SMED30012514 HEXB
SMED30012499 TAF10
SMED30012509 VKT9
SMED30012516 RMIL
SMED30012505 TM164
SMED30012513 YLAT2
SMED30012493 FIMB
SMED30012521 ERH
SMED30012526 S39A3
SMED30012540 CPSF1
SMED30012547 Y467
SMED30012543 SPON1
SMED30012533 B3GT5
SMED30012544 TSN5
SMED30012559 MUTL
SMED30012557 WDR48
SMED30012546 CCD65
SMED30012548 PXK
SMED30012555 RB39A
SMED30012531 DDX41
SMED30012596 TPK1
SMED30012576 DPOM
SMED30012597 TIGD1
SMED30012577 SETD3
SMED30012575 DD19A
SMED30012593 KC1G
SMED30012599 TM129
SMED30012589 DPOM
SMED30012568 GLPK
SMED30012583 ARNT
SMED30012586 CSKI2
SMED30012574 DYC1
SMED30012564 TRF6B
SMED30012572 SYLM
SMED30012579 SENP7
SMED30012619 MATR3
SMED30012610 CCM2
SMED30012628 ARF6
SMED30012631 ALA7
SMED30012622 IFT43
SMED30012625 ZBED5
SMED30012603 POL4
SMED30012600 SCAM1
SMED30012617 GNPI2
SMED30012609 MOS1T
SMED30012605 FRM4A
SMED30012602 SSN3
SMED30012635 ZBED5
SMED30001317 MOT12
SMED30001327 RPAB4
SMED30001325 BAC2
SMED30001300 SAMH1
SMED30001326 EI3GA
SMED30001310 SCND3
SMED30001302 ACSS3
SMED30001319 NCKX5
SMED30001318 2ABA
SMED30001330 SUN2
SMED30001321 LEXM
SMED30001315 ADA28
SMED30001296 ARP2B
SMED30012641 ASIC5
SMED30012651 POL3
SMED30012642 LUC7L
SMED30012656 NPHN
SMED30012645 CSCL1
SMED30012638 CCD42
SMED30012659 PPE1
SMED30012664 PGBD4
SMED30012644 TBP
SMED30012637 YRBE
SMED30012652 KPSH1
SMED30012665 FRMD5
SMED30012648 CUL5
SMED30012657 FOPNL
